emp_no,dept_no,from_date,to_date
110022,d001,30-12-1995,29-12-1998
110039,d001,09-04-1997,01-01-9999
110040,d001,31-12-1991,29-12-1997
110041,d001,02-08-1993,01-08-1998
110042,d001,30-12-1993,28-12-2000
110043,d001,20-11-1992,19-11-1997
110044,d001,13-10-1995,11-10-2000
110045,d001,04-02-1995,01-01-9999
110046,d001,29-12-1996,28-12-2002
110047,d001,06-01-1993,05-01-1999
110048,d001,10-08-1994,09-08-1999
110049,d001,09-06-1991,07-06-1999
110050,d001,29-05-1998,27-05-2000
110051,d001,29-05-1999,27-05-2000
110085,d002,31-12-1991,29-12-1998
110114,d002,13-01-1991,01-01-9999
110115,d002,30-12-1993,29-12-1999
110116,d002,02-08-1995,31-07-2000
110117,d002,30-12-1995,28-12-2002
110118,d002,20-11-1994,19-11-1999
110119,d002,12-10-1997,11-10-2002
110120,d002,03-02-1997,01-01-9999
110121,d002,29-12-1998,27-12-2004
110122,d002,06-01-1995,04-01-2001
110123,d002,09-08-1996,08-08-2001
110124,d002,08-06-1993,06-06-2001
110125,d002,30-12-1993,28-12-2000
110126,d002,29-05-1999,27-05-2000
110127,d002,29-05-2000,01-01-9999
110183,d003,31-12-1990,29-12-1996
110228,d003,02-08-1992,01-08-1997
110229,d003,25-11-1994,23-11-2001
110230,d003,16-10-1993,15-10-1998
110231,d003,07-09-1996,06-09-2001
110232,d003,31-12-1995,01-01-9999
110233,d003,24-11-1997,23-11-2003
110234,d003,02-12-1993,01-12-1999
110235,d003,06-07-1995,04-07-2000
110236,d003,04-05-1992,02-05-2000
110237,d003,01-10-1992,29-09-2000
110238,d003,15-05-1994,27-05-2000
110239,d003,29-05-1997,27-05-2000
110240,d003,29-05-2000,01-01-9999
110303,d004,30-12-1992,29-12-1999
110344,d004,21-11-1991,19-11-1996
110386,d004,13-10-1994,12-10-1999
110420,d004,04-02-1994,01-01-9999
110421,d004,30-01-1991,07-06-1996
110422,d004,11-03-1990,18-07-1993
110423,d004,23-03-1991,21-03-1996
110424,d004,15-07-1990,11-02-1992
110425,d004,30-12-1992,28-12-2001
110426,d004,25-04-1993,18-10-1998
110427,d004,30-03-1993,29-03-1998
110428,d004,20-02-1996,18-02-2001
110429,d004,14-06-1995,27-12-2004
110430,d004,29-05-1998,27-05-2000
110511,d005,31-12-1991,28-12-2000
110567,d005,25-04-1992,18-10-1997
110568,d005,05-01-1990,20-08-2003
110569,d005,03-10-1994,02-10-1998
110570,d005,07-04-1997,06-04-2001
110571,d005,28-02-1999,01-01-9999
110572,d005,20-02-1993,19-02-1998
110573,d005,14-06-1992,11-01-1994
110574,d005,30-11-1994,28-11-2003
110575,d005,26-03-1995,17-09-2000
110576,d005,28-02-1995,27-02-2000
110577,d005,29-01-1992,27-09-1996
110578,d005,12-03-1999,21-01-2000
110579,d005,29-05-1998,01-01-9999
110725,d006,30-12-1995,28-12-2001
110765,d006,07-01-1992,05-01-1998
110800,d006,10-08-1993,09-08-1998
110854,d006,09-06-1990,07-06-1998
110855,d006,14-05-1994,12-05-2000
110856,d006,12-05-1993,11-05-1998
110857,d006,04-03-1991,02-03-1996
110858,d006,27-06-1990,26-06-1995
110859,d006,29-12-1996,28-12-2002
110860,d006,06-01-1993,05-01-1999
110861,d006,10-08-1994,09-08-1999
110862,d006,09-06-1991,07-06-1999
110863,d006,14-05-1995,12-05-2001
110864,d006,12-05-1994,11-05-1999
110865,d006,03-03-1992,02-03-1997
110866,d006,18-06-1990,23-12-1994
110867,d006,17-05-1993,16-05-1998
110868,d006,30-12-1994,28-12-2000
110869,d006,29-05-1998,27-11-2000
111035,d007,30-12-1992,29-12-1998
111133,d007,29-12-1991,27-12-1996
111134,d007,13-06-1992,12-06-1998
111135,d007,14-01-1994,13-01-1999
111136,d007,13-06-1994,11-06-2001
111137,d007,04-05-1993,03-05-1998
111138,d007,26-03-1996,25-03-2001
111139,d007,19-07-1995,15-06-9997
111140,d007,12-06-1997,11-06-2003
111141,d007,20-06-1993,19-06-1999
111142,d007,22-01-1995,21-01-2000
111143,d007,21-11-1991,19-11-1999
111144,d007,13-06-1992,12-06-1999
111145,d007,05-01-1990,13-06-1995
111146,d007,15-01-1991,14-01-1996
111147,d007,06-10-1995,04-10-2001
111148,d007,14-10-1991,12-10-1997
111149,d007,29-05-1999,27-05-2000
111150,d007,29-05-2000,27-04-2005
111400,d008,11-03-1990,29-12-1999
111534,d008,30-01-1991,28-01-1999
